ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.673184', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 445, 'protocol_type': 2, 'src_bytes': 445, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.674481', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 504, 'protocol_type': 2, 'src_bytes': 504, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.675752', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 445, 'protocol_type': 2, 'src_bytes': 445, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.676957', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 508, 'protocol_type': 2, 'src_bytes': 508, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.677799', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 436, 'protocol_type': 2, 'src_bytes': 436, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:07.215739', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.39.21', 'src_port': 53765, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 145, 'protocol_type': 1, 'src_bytes': 145, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:07.225628', 'src_ip': '104.18.39.21', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 53765, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:07.344824', 'src_ip': '104.18.39.21', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 53765, 'protocol': 'TCP', 'packet_length': 139, 'protocol_type': 1, 'src_bytes': 139, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:07.399569', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.39.21', 'src_port': 53765, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:09.127398', 'src_ip': '4.213.25.240', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 57025, 'protocol': 'TCP', 'packet_length': 486, 'protocol_type': 1, 'src_bytes': 486, 'dst_bytes': 0} | Predicted label: 11
